Concelho;Cidades estatísticas_2021;Freguesias_2021;Vilas_2021;Densidade populacional_2021;Famílias clássicas_2021;Índice de dependência2021;População residente estimada_2021;Proporção de população jovem_2021;Proporção de população jovem_2020;Proporção de população jovem_2019;Veículos novos vendidos e registados por 1000 habitantes_2020;Veículos novos vendidos e registados por 1000 habitantes_2019;Veículos novos vendidos e registados por 1000 habitantes_2018;Água distribuída por habitante_2019;Proporção da população com 18 ou mais anos com pelo menos o ensino secundário completo (censos)_2011;Taxa de analfabetismo (censos)_2011;Alunos por computador com internet_2019/2020;Alunos por computador com internet_2018/2019;Alunos por computador com internet_2017/2018;Poder de compra per capita_2019;Poder de compra per capita_2017;2Poder de compra per capita_015;Poder de compra per capita_2013;Empresas (por localização da sede)_2020;Pessoal ao serviço por empresa_2020;Volume de negócios por empresa_2020;Volume de negócios por empresa_2019;Volume de negócios por empresa_2018;Volume de negócios por empresa_2017;concelhos_distrito;concelhos_nuti;concelhos_nutii;concelhos_nutiii
Águeda;1;11;4;137,9;17896;60,9;46247;12;12,1;11,9;12,1;17,4;16;40,4;25,3;4,3;3,9;4,5;4,9;86,6;86,5;86,1;86,5;5546;3,8;281,6;307,4;299,4;277,3;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Albergaria-a-Velha;1;6;2;156,7;9654;55,4;24888;12,7;12,9;12,8;12,1;17,2;14,1;45,5;24,5;4,2;5,1;7,3;5,6;86,5;84,5;83,7;83,4;2789;3,3;382,5;398,2;413,5;394,1;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Anadia;1;10;1;127,5;10834;67,4;27618;10,7;10,7;10,5;15,7;26,6;21,6;54,7;25,9;5,9;5,9;5,9;6,8;80,4;78,7;79,6;81,1;3772;2,6;173,7;174,8;166,3;161,3;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Aveiro;1;10;3;414,2;32977;51,8;81843;13;13;14;16,3;24,9;24,3;60,6;39,6;2,9;5,4;5,4;4,3;121,8;123,1;125,1;123,5;10256;3,4;273,3;302,2;297;283,3;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Estarreja;1;5;3;243,2;9828;58,9;26309;12,5;12,6;12,5;10,9;15,2;13,9;77,7;23,4;4,2;4,4;4,1;4,4;84,5;82,1;82,5;83;2632;3,5;583,3;566,1;588,5;569,6;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Ílhavo;2;4;1;538,5;15623;54,1;39568;13,4;13,4;13,7;12,8;17,2;16,1;58,4;31,9;3,2;3,7;3,9;4,7;89;88,6;88,2;88,7;4194;3,3;580,3;715,3;505,4;455,7;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Murtosa;0;4;2;144,4;4052;61,4;10556;13,4;13,5;13,7;8,4;13,2;11,2;50,5;19,2;4,7;12,5;13,2;6,8;71,5;69,3;69,4;71,1;1210;2,1;75,7;82,6;79,4;78,5;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Oliveira do Bairro;1;4;5;268,9;8709;59,5;23479;13,8;14;14;13,9;14,5;17,5;36,4;26,9;5,6;4,3;6,7;6,7;79,5;79,7;81;82,2;2937;3,4;303,7;293,7;295,7;279,7;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Ovar;2;5;4;373,7;20928;52,2;55198;12,4;12,5;12,6;13,1;16,8;16,9;47,4;29,2;3,7;4,3;5;4,5;89,3;88,9;89,6;88,6;5868;3,6;383,2;406,5;407,6;391,2;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Sever do Vouga;0;7;1;85;4451;66,3;11035;10,1;10,2;10,1;10,5;16,1;14,1;21,9;23,2;5,6;1,9;1,9;1,2;75,7;74;74,1;75,4;1488;2,9;171,3;178,2;188,2;153,5;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Vagos;0;8;2;139,8;8731;59,6;23052;13,2;13,4;13,1;14,3;18,5;19,2;46,1;23,8;6,1;5,9;6,1;6,1;74;72,1;69;73,6;2835;2,9;232,8;242,6;269,2;246,9;AVEIRO;Portugal Continental;Centro;Região de Aveiro
Arganil;0;14;1;33,2;4694;76,9;11054;10,3;10,1;10,1;9,2;16;12,2;61,4;18;8;2,2;2,6;2,4;69;68,2;68,5;70,2;1144;2,6;161,8;169,8;163,4;150,6;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Cantanhede;1;14;3;87,8;13724;71,5;34310;11,2;11,3;11,3;10,2;14,2;14;96,5;25,4;6,8;4;4,2;4,4;81,2;79,8;80,8;82,3;4985;2,4;195,2;198,5;194,4;184,6;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Coimbra;1;18;4;443,1;59991;59,4;141512;11,7;11,7;12,7;18;28;27,1;75,6;46,3;3,6;4,8;4,7;5,2;126,3;128,7;131,5;130,3;19932;2,3;163,2;170,1;171,2;144,1;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Condeixa-a-Nova;0;7;1;122;6344;57;16923;13,5;13,8;13,9;12,8;14,7;13,9;51,4;36,5;6,6;4,4;4,1;5,2;79;77,9;79,7;81,6;1738;2,3;158;147;141,6;140,4;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Figueira da Foz;1;14;7;155,7;24609;65,5;59034;11,1;11,3;11,7;12,8;17,9;18,9;58,5;31,4;6;4,8;4,9;5;95,1;95;95,2;95,7;6712;3,2;375,1;434,2;486;450,8;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Góis;0;4;1;14,4;1637;84,7;3804;8,1;8,4;9,9;6,1;7,9;6,8;56,5;16,3;10,3;1,8;2,7;3,1;66,1;64;64,9;66,6;447;1,9;90,5;104,7;108,9;105,8;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Lousã;0;4;1;123,4;7025;56,3;17085;12,9;13,2;13,8;7,6;12,1;9,2;50,6;30,3;3,7;3,4;5,2;4,2;80,7;80,6;81,7;82,3;1839;2,4;182,2;198,9;198,2;186,7;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Mealhada;1;6;2;175,9;7660;59,8;19462;11,3;11,5;11,9;18;22,8;23;69,4;29,7;4,7;3,9;3,8;4;86,8;86,9;86,3;91,3;2435;2,7;326,8;372,5;252,5;175,2;AVEIRO;Portugal Continental;Centro;Região de Coimbra
Mira;0;4;2;97,8;4941;73,9;12127;11,6;11,6;11,6;9,9;13,4;14,9;101,6;25,8;6,9;4,6;3,5;3,4;73;72,2;72,8;74,8;1442;2,3;152,7;169,8;151;143;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Miranda do Corvo;0;4;1;95,3;4766;59,9;12047;10,6;10,9;10,2;8,3;10,8;10,8;50,3;25;5,4;4;3,9;4,5;67,9;67,3;68,1;70;1322;1,8;82,4;84,3;78,6;81,8;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Montemor-o-Velho;0;11;6;107,6;9563;62,1;24631;12,2;12,3;12,1;11;14,2;13,4;47,9;27,1;7,5;3,7;3,8;4,1;71,3;71;71,8;72,8;2744;2,2;117,3;108,2;100,5;94;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Mortágua;0;7;1;35,7;3710;81,2;8968;9,5;9,5;10;11,1;19,4;14;69,8;20;7,3;3,9;3,9;3,8;77,2;74,1;73,2;75,1;1285;3;291,7;250,8;225,3;223,7;VISEU;Portugal Continental;Centro;Região de Coimbra
Oliveira do Hospital;1;16;3;82,7;7840;65,4;19394;10,9;10,9;10,9;8,4;13;16,5;50;20,5;7,3;3,3;3,6;3,9;75,4;74,5;74,9;75,3;1910;3;166,2;169,8;168,1;170,3;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Pampilhosa da Serra;0;8;1;10,4;1933;110,8;4116;6,5;6,6;7,2;9,9;11,4;9,6;57,5;11,7;15,9;1,8;2,4;1,8;64,9;64,6;65,3;65,1;248;2,1;295,5;300,6;279,9;277,1;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Penacova;0;8;3;60,3;5285;70,8;13070;9,2;9,4;9,6;9,9;15,1;11,4;52,7;18,4;7,4;2,5;2,7;3,5;64,6;63,7;62,8;64,7;1567;2,1;131,5;136,4;126,1;114,3;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Penela;0;4;2;40,3;2248;72,4;5435;10,3;10,5;10,4;18;32,6;20,2;62;21,6;8,4;2,6;2,3;2,5;73,6;70;69,2;70,9;645;3,5;281,1;258,5;239,6;199,1;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Soure;0;10;2;64,9;7203;77,6;17201;9,9;10,2;10,6;10,8;13,9;12,3;58,6;24,7;10,3;3,4;3,7;4,2;71,9;70,7;71,8;72,5;1573;2,1;128,2;133,8;134,8;117,4;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Tábua;0;11;2;56;4516;69,9;11188;11,2;11,2;11,1;8,1;10,5;14,7;40,3;19,1;7,6;2,8;3,1;3,2;69,6;68,6;68,5;69,6;1104;4,8;240,7;287,8;285,6;297,1;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Vila Nova de Poiares;0;4;1;81,1;2794;57,8;6851;10,8;11,2;11,9;9,3;17;18,6;55,1;22;5,6;2,8;2,9;3,1;71,4;70,5;69,5;73,5;779;2,8;244,4;233,6;576,5;510,9;COIMBRA;Portugal Continental;Centro;Região de Coimbra
Alvaiázere;0;5;1;39,1;2752;85,1;6269;9;9;9,2;9,4;16,5;17,4;55,7;18,3;10,8;2,1;2,2;2,3;67,6;66,5;66,9;69,1;811;2,7;179;183,6;169,6;162,2;LEIRIA;Portugal Continental;Centro;Região de Leiria
Ansião;0;6;2;66,1;4818;73,6;11647;10;10;9,7;9,7;13;11,7;62,7;22,7;8,5;2,9;3,1;3,4;74,2;73,5;72,8;73,9;1454;2,8;216,5;215,2;201,2;184,3;LEIRIA;Portugal Continental;Centro;Região de Leiria
Batalha;0;4;2;151,7;6129;58,6;15689;13,9;14,2;13,3;17,4;20,5;22,7;59,5;27,5;5,4;4,6;5,2;5,1;83,9;84,8;83,8;86,2;2049;3,5;296,4;305,2;300,9;277,5;LEIRIA;Portugal Continental;Centro;Região de Leiria
Castanheira de Pêra;0;1;1;39,6;1181;85,1;2645;7,6;7,7;7,5;5,4;14,9;12,5;49,2;16,7;9;1,1;1,2;1,3;66,6;65,6;69,8;69,6;251;2,6;104,8;110,4;108;92,2;LEIRIA;Portugal Continental;Centro;Região de Leiria
Figueiró dos Vinhos;0;4;1;30,5;2364;80,1;5283;9,1;9,3;9,6;7,7;10,4;8,4;46,9;19,7;9,2;1,5;1,6;1,6;66;65,5;67,2;70,3;603;1,9;142,1;154;147,1;131,8;LEIRIA;Portugal Continental;Centro;Região de Leiria
Leiria;1;18;5;228,9;51443;55,2;129327;13,1;13,3;13,5;20,8;28,6;26,6;53,6;33,8;4,6;5,6;6,2;6;103,2;103,4;102,9;103,2;17221;3,3;311,2;329,2;326,8;316,5;LEIRIA;Portugal Continental;Centro;Região de Leiria
Marinha Grande;1;3;1;209,4;16114;56,8;39203;12,7;13;13,3;9,6;13,4;14,2;62,4;31;4,8;4;4,8;5,7;94,9;98,5;99,3;100;4533;3,7;339,4;366,4;387,9;350,1;LEIRIA;Portugal Continental;Centro;Região de Leiria
Pedrógão Grande;0;3;1;26,5;1525;77,7;3414;8;8;9,6;9,4;7,3;17,8;63,4;19;12,3;1,1;1,5;1,5;70,2;67,9;68,2;68,8;404;2;87,5;104,4;105;86,5;LEIRIA;Portugal Continental;Centro;Região de Leiria
Pombal;1;13;2;81,8;20860;68,3;51230;11,5;11,7;11,7;13,9;17,9;16,8;53,6;23,3;10,3;4,3;4,5;4,8;82,7;82,2;82,8;85,3;6295;3,1;250,7;264,3;253,8;239,9;LEIRIA;Portugal Continental;Centro;Região de Leiria
Porto de Mós;0;10;3;88,8;9283;60;23262;12,5;12,5;12,3;9;13,6;14,6;48,5;24,4;5,7;5,1;4,6;4,9;81,2;80,2;80,3;82;2821;2,9;223,4;234,7;227,5;220,2;LEIRIA;Portugal Continental;Centro;Região de Leiria
Aguiar da Beira;0;10;1;25,2;2109;86,2;5218;8,2;8,3;8,6;9,9;15,5;16,5;53;16,5;15;6;6,8;2,9;68,8;67,4;66,1;69,3;753;2,2;135,7;130,5;126;124,8;GUARDA;Portugal Continental;Centro;Viseu Dão-Lafões
Carregal do Sal;0;5;2;77,5;3740;74,9;9063;11,1;11,2;11,2;9,3;15,6;13,8;43,7;19,5;7,6;2,4;2,6;2,5;72,7;70,9;70,1;71,2;869;3,3;210;224,5;228,4;201;VISEU;Portugal Continental;Centro;Viseu Dão-Lafões
Castro Daire;0;16;2;36,2;5631;72,7;13724;9,6;9,7;10,4;13,8;19,6;15,2;36,1;15,8;11,4;3,4;3,6;3,2;66;64,8;64,4;66,6;1394;2,4;143,3;151,1;144,8;145,3;VISEU;Portugal Continental;Centro;Viseu Dão-Lafões
Mangualde;1;12;0;83,4;7397;68,5;18294;11;11,2;11,4;12,3;18,3;19,4;130,6;22,9;6,6;4,3;4,4;4,4;83,4;82,4;81,9;82,9;1881;4;709,1;807,7;651,5;585,4;VISEU;Portugal Continental;Centro;Viseu Dão-Lafões
Nelas;0;7;3;104,3;5312;73,6;13107;11,5;11,8;11,7;10,6;17,9;19,7;60,9;23,8;5,7;2,6;4,4;3,8;79,2;77,1;76,3;76,7;1197;3,3;362,6;377,3;353,4;299,4;VISEU;Portugal Continental;Centro;Viseu Dão-Lafões
Oliveira de Frades;0;8;1;65,7;3683;58,9;9543;12,1;12,3;12,6;7,9;13,2;14,7;47;23;6,2;4,1;6,1;6,8;78,5;77,5;80,5;83,6;1149;4,7;654,5;581,7;1251,4;1119,8;VISEU;Portugal Continental;Centro;Viseu Dão-Lafões
